序号,来源,发文字号,文件名,命中关键词,命中段落摘录,判定理由,置信度,建议主题归类,对应已提取ID
1,nfra,国家金融监督管理总局令〔2026〕4号,保险公司资产负债管理办法,人身保险公司 ,[meta]…，制定本办法。第二条  本办法所称保险公司是指中国境内依法设立的经营保险业务的商业保险公司，包括财产保险公司和人身保险公司。 法规司    保险公司资产负债管理办法第一章 总则 第一条 为防范保险资产负债错配风险，提升保险公司资产负…,文件主体/适用对象明确为人身险/寿险/健康险/养老险公司（含其资管子公司）；同时存在排除信号(财产保险公司)，已据主体规则判定,中,待定（建议人工归类）,（漏提，无对应ID）
2,nfra,金规〔2025〕23号,国家金融监督管理总局关于授权调整部分行政许可及报告事项监管层级的通知, 保险兼业代理,[body]…在现有营业场所同一地址范围内增加或减少使用面积，支公司、营业部经理，营销服务部主要负责人任职等事项；（四）辖内保险兼业代理机构名称、住所或营业场所变更，保险兼业代理法人机构授权分支机构代理保险业务，保险兼业代理法人机构变更对分支机构…,规范保险销售/代理人行为，直接约束人身险公司销售队伍；同时存在排除信号(商业银行)，已据主体规则判定,中,T1销售行为与消费者保护,（漏提，无对应ID）
3,nfra,金办便函〔2025〕745号,国家金融监督管理总局办公厅关于推动城市商业医疗险高质量发展的通知,人身保险|健康保险 ,[meta]…护保险消费者合法权益，按照《健康保险管理办法》等规定，现就有关事项通知如下：一、厚植为民情怀，突出普惠定位。 人身保险监管司    各金融监管局，保险业协会，各保险公司：为贯彻落实《国务院关于加强监管防范风险推动保险业高质量发展…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,中,T2产品与精算制度,（漏提，无对应ID）
4,nfra,保监发〔2012〕10号,关于调整保险业务监管费收费标准等有关事项的通知,人寿保险|人身保险|健康保险 ,[body]…业务，由按保险公司年度自留保费的1.7‰降为按保险公司年度自留保费的1.45‰收取。 2.对保险公司经营的长期人寿保险业务，由按保险公司年度自留保费的0.9‰降为按保险公司年度自留保费的0.75‰收取；对保险公司经营的长期健康保…,"正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司；同时存在排除信号(保险中介机构,保险公估,保险经纪机构)，已据主体规则判定",中,T2产品与精算制度,（漏提，无对应ID）
5,nfra,保监发〔2009〕19号,关于严厉打击制售假保单等违法行为的通知, 保险兼业代理,[meta]…售假保单等违法行为的通知 保监发〔2009〕19号。各保险公司、各保监局:。近期，个别地区出现了机票代售网点等保险兼业代理机构伪造并销售假航意险保单的严重违法行为，造成了严重危害，引起保险消费者及公众的强烈不满。为切实保护消费者利益…,规范保险销售/代理人行为，直接约束人身险公司销售队伍,中,T1销售行为与消费者保护,（漏提，无对应ID）
6,nfra,保监发〔2007〕120号,关于印发《中国保险监督管理委员会关于规范部分法律文书送达工作的指导意见》的通知,寿险 ,[meta]…部分法律文书送达工作的指导意见》的通知 保监发〔2007〕120号。各保监局，办公厅、发改部、财会部、产险部、寿险部、中介部、资金部、国际部、统信部、机构部：。为切实推进我会法制建设工作，健全保险监管法律制度，提高依法行政水…,正文明确涉及人身保险/寿险/健康保险/养老险业务，适用主体包含人身险公司,中,T2产品与精算制度,（漏提，无对应ID）
7,nfra,保监财会〔2006〕701号,关于加强对保险机构所属境内非保险类经济实体和境外保险机构财务监管若干事项的通知,健康保险|养老保险公司 ,[body]…非保险类经济实体，是指保险公司能对其实施控制、共同控制或重大影响的除保险公司、保险资产管理公司、健康保险公司、养老保险公司之外的各类经济实体，包括保险公司所属银行、证券公司、信托公司、保险中介机构及其他独立经营、独立核算的经济实体或…,"文件主体/适用对象明确为人身险/寿险/健康险/养老险公司（含其资管子公司）；涉及养老保险公司（保险资管子公司）；同时存在排除信号(保险中介机构,信托公司,证券公司)，已据主体规则判定",中,T2产品与精算制度,（漏提，无对应ID）
8,supp,金非银检函〔2025〕82号,国家金融监督管理总局保险和非银机构检查局《关于修订保险业监管数据标准化规范（人身保险公司2024版）部分数据项报送口径的通知》（金非银检函〔2025〕82号）,人寿保险|人身保险|人身保险公司|人身险公司|健康保险|健康险|健康险公司|养老保险|养老保险公司|养老险|养老险公司|寿险 保险兼业代理|保险销售从业人员,[title]…国家金融监督管理总局保险和非银机构检查局《关于修订保险业监管数据标准化规范（人身保险公司2024版）部分数据项报送口径的通知》（金非银检函〔2025〕82号） 修订人身保险公司2024版监管数据标准…,"文件主体/适用对象明确为人身险/寿险/健康险/养老险公司（含其资管子公司）；规范保险销售/代理人行为，直接约束人身险公司销售队伍；涉及养老保险公司（保险资管子公司）；同时存在排除信号(保险中介机构,保险公估,保险经纪)，已据主体规则判定",高,T1销售行为与消费者保护,（漏提，无对应ID）
